iter	Passed	Remaining
0	7	3964
1	14	3700
2	21	3642
3	28	3580
4	35	3519
5	42	3502
6	49	3494
7	56	3458
8	63	3442
9	70	3440
10	77	3435
11	84	3444
12	91	3422
13	97	3401
14	104	3383
15	111	3379
16	118	3379
17	125	3360
18	132	3348
19	139	3342
20	146	3338
21	152	3317
22	159	3311
23	166	3301
24	173	3288
25	179	3277
26	186	3272
27	193	3270
28	200	3261
29	208	3259
30	214	3248
31	221	3245
32	232	3292
33	244	3354
34	251	3345
35	258	3329
36	264	3313
37	272	3307
38	278	3296
39	286	3291
40	293	3285
41	300	3276
42	307	3267
43	314	3258
44	321	3253
45	328	3242
46	335	3235
47	341	3220
48	348	3206
49	355	3200
50	361	3186
51	368	3178
52	375	3166
53	381	3152
54	388	3142
55	396	3140
56	402	3131
57	409	3121
58	415	3109
59	423	3102
60	430	3096
61	443	3129
62	451	3130
63	458	3124
64	465	3117
65	472	3108
66	478	3094
67	485	3083
68	492	3076
69	499	3068
70	506	3060
71	513	3052
72	519	3039
73	526	3032
74	533	3025
75	540	3016
76	547	3005
77	554	2998
78	561	2992
79	568	2985
80	575	2974
81	582	2968
82	588	2958
83	595	2949
84	602	2940
85	609	2934
86	616	2926
87	623	2919
88	635	2932
89	660	3010
90	674	3033
91	682	3026
92	689	3017
93	696	3008
94	703	2999
95	710	2991
96	717	2982
97	725	2975
98	731	2963
99	738	2955
100	745	2946
101	752	2935
102	759	2925
103	765	2916
104	772	2905
105	779	2897
106	786	2889
107	793	2880
108	800	2871
109	808	2864
110	815	2856
111	822	2848
112	829	2840
113	836	2833
114	847	2838
115	859	2845
116	866	2837
117	874	2829
118	881	2820
119	888	2812
120	894	2802
121	901	2793
122	908	2785
123	916	2778
124	923	2770
125	930	2760
126	937	2752
127	944	2743
128	951	2735
129	957	2726
130	964	2717
131	971	2709
132	979	2701
133	986	2693
134	993	2685
135	1000	2676
136	1007	2668
137	1014	2661
138	1022	2654
139	1029	2646
140	1036	2639
141	1044	2633
142	1057	2639
143	1065	2633
144	1072	2625
145	1079	2616
146	1086	2609
147	1093	2601
148	1100	2592
149	1107	2583
150	1114	2575
151	1121	2568
152	1129	2561
153	1136	2552
154	1143	2545
155	1150	2537
156	1157	2529
157	1165	2522
158	1172	2514
159	1179	2506
160	1186	2498
161	1193	2490
162	1200	2482
163	1208	2475
164	1215	2467
165	1223	2460
166	1229	2452
167	1237	2444
168	1244	2438
169	1252	2430
170	1266	2436
171	1275	2431
172	1282	2424
173	1289	2416
174	1297	2408
175	1304	2400
176	1311	2392
177	1318	2385
178	1325	2376
179	1332	2368
180	1339	2360
181	1346	2352
182	1353	2345
183	1361	2337
184	1368	2329
185	1375	2322
186	1382	2314
187	1389	2306
188	1396	2298
189	1404	2290
190	1411	2284
191	1418	2276
192	1425	2267
193	1432	2259
194	1439	2252
195	1447	2244
196	1454	2237
197	1462	2230
198	1470	2224
199	1477	2216
200	1485	2209
201	1492	2201
202	1499	2193
203	1506	2186
204	1513	2178
205	1520	2170
206	1528	2162
207	1535	2155
208	1542	2147
209	1549	2139
210	1556	2132
211	1563	2124
212	1570	2116
213	1578	2109
214	1585	2101
215	1592	2093
216	1599	2085
217	1606	2078
218	1613	2070
219	1620	2062
220	1627	2054
221	1634	2047
222	1642	2039
223	1649	2031
224	1656	2024
225	1663	2016
226	1676	2016
227	1686	2011
228	1693	2003
229	1700	1996
230	1707	1988
231	1714	1980
232	1722	1973
233	1729	1965
234	1736	1958
235	1743	1950
236	1750	1943
237	1758	1935
238	1765	1927
239	1771	1918
240	1778	1910
241	1785	1903
242	1792	1895
243	1799	1887
244	1806	1880
245	1813	1872
246	1820	1865
247	1828	1858
248	1835	1850
249	1843	1843
250	1850	1835
251	1858	1828
252	1865	1821
253	1874	1815
254	1881	1807
255	1888	1800
256	1896	1792
257	1903	1784
258	1910	1777
259	1917	1769
260	1924	1762
261	1932	1755
262	1939	1747
263	1946	1739
264	1953	1732
265	1960	1724
266	1968	1717
267	1975	1709
268	1982	1702
269	1990	1695
270	1997	1687
271	2004	1679
272	2011	1672
273	2017	1664
274	2024	1656
275	2031	1649
276	2038	1641
277	2045	1633
278	2053	1626
279	2060	1619
280	2068	1611
281	2076	1604
282	2083	1597
283	2090	1590
284	2097	1582
285	2104	1574
286	2112	1567
287	2119	1559
288	2126	1552
289	2133	1544
290	2140	1537
291	2147	1529
292	2154	1522
293	2161	1514
294	2168	1507
295	2175	1499
296	2183	1492
297	2190	1484
298	2196	1476
299	2203	1468
300	2210	1461
301	2217	1453
302	2224	1446
303	2231	1438
304	2238	1431
305	2245	1423
306	2252	1416
307	2260	1409
308	2268	1402
309	2281	1398
310	2291	1392
311	2298	1384
312	2305	1377
313	2312	1369
314	2319	1362
315	2326	1354
316	2333	1347
317	2341	1339
318	2348	1332
319	2355	1324
320	2362	1317
321	2369	1309
322	2376	1302
323	2383	1294
324	2391	1287
325	2398	1279
326	2405	1272
327	2412	1265
328	2420	1257
329	2427	1250
330	2434	1242
331	2441	1235
332	2448	1227
333	2455	1220
334	2462	1213
335	2469	1205
336	2477	1198
337	2485	1191
338	2493	1184
339	2500	1176
340	2508	1169
341	2515	1162
342	2522	1154
343	2530	1147
344	2537	1139
345	2544	1132
346	2551	1125
347	2559	1117
348	2566	1110
349	2573	1102
350	2580	1095
351	2587	1087
352	2594	1080
353	2601	1072
354	2608	1065
355	2616	1058
356	2623	1051
357	2630	1043
358	2637	1036
359	2644	1028
360	2651	1020
361	2658	1013
362	2666	1006
363	2673	998
364	2681	991
365	2689	984
366	2696	977
367	2703	969
368	2710	962
369	2717	954
370	2723	947
371	2730	939
372	2738	932
373	2745	924
374	2752	917
375	2759	910
376	2766	902
377	2773	895
378	2780	887
379	2787	880
380	2795	873
381	2802	865
382	2809	858
383	2816	850
384	2823	843
385	2831	836
386	2838	828
387	2845	821
388	2852	813
389	2859	806
390	2866	799
391	2874	791
392	2881	784
393	2893	778
394	2903	771
395	2910	764
396	2917	757
397	2924	749
398	2932	742
399	2938	734
400	2946	727
401	2953	719
402	2960	712
403	2967	705
404	2974	697
405	2981	690
406	2988	682
407	2995	675
408	3002	668
409	3009	660
410	3016	653
411	3023	645
412	3031	638
413	3038	631
414	3045	623
415	3052	616
416	3059	609
417	3066	601
418	3073	594
419	3081	586
420	3089	579
421	3106	574
422	3121	568
423	3130	561
424	3138	553
425	3145	546
426	3152	538
427	3159	531
428	3166	524
429	3173	516
430	3180	509
431	3188	501
432	3195	494
433	3202	487
434	3209	479
435	3216	472
436	3223	464
437	3230	457
438	3238	449
439	3245	442
440	3252	435
441	3260	427
442	3267	420
443	3274	413
444	3281	405
445	3288	398
446	3296	390
447	3305	383
448	3312	376
449	3319	368
450	3326	361
451	3333	354
452	3340	346
453	3347	339
454	3354	331
455	3361	324
456	3369	316
457	3376	309
458	3383	302
459	3390	294
460	3397	287
461	3405	280
462	3412	272
463	3419	265
464	3425	257
465	3432	250
466	3440	243
467	3447	235
468	3454	228
469	3462	220
470	3469	213
471	3476	206
472	3483	198
473	3491	191
474	3498	184
475	3506	176
476	3522	169
477	3529	162
478	3536	155
479	3543	147
480	3550	140
481	3557	132
482	3564	125
483	3571	118
484	3578	110
485	3585	103
486	3592	95
487	3600	88
488	3607	81
489	3613	73
490	3620	66
